step,train_loss,valid_loss,img_diff,hard_valid_loss,hard_img_diff 
0,NA,320.3779,262.8820,538.9548,453.7292
0,275.5800,NA,218.4314,NA,NA
102,NA,358.7274,288.1542,518.9518,430.9106
204,NA,331.6605,277.7230,501.2856,415.3099
204,280.3364,NA,226.3895,NA,NA
306,NA,282.6611,245.3475,421.8981,367.1418
408,NA,281.8937,248.8108,411.1885,360.8293
408,241.3997,NA,203.7139,NA,NA
510,NA,279.9585,248.7245,406.0178,357.6237
612,NA,276.1891,246.2188,404.3164,356.9325
612,236.7332,NA,203.2196,NA,NA
714,NA,277.7067,249.7047,399.1209,353.5555
816,NA,274.2397,245.8159,400.7144,354.6171
816,239.5164,NA,207.2173,NA,NA
918,NA,275.0824,248.2631,392.7389,348.6841
1020,NA,266.7275,239.0655,390.4589,344.7468
1020,228.7652,NA,197.7606,NA,NA
1122,NA,273.0139,246.0719,393.2266,348.8963
1224,NA,272.4034,245.7007,393.2196,348.6665
1224,227.3267,NA,196.7474,NA,NA
1326,NA,268.7072,243.8438,387.5140,345.1652
1428,NA,271.5264,247.5281,388.0179,347.1374
1428,226.8608,NA,199.5817,NA,NA
1530,NA,266.2705,240.2678,389.3269,345.6034
1632,NA,271.3625,245.9702,390.1591,347.4218
1632,225.2914,NA,197.0865,NA,NA
1734,NA,267.6885,243.0208,384.8916,341.7123
1836,NA,264.3845,238.8956,386.2080,342.6498
1836,224.8589,NA,195.8848,NA,NA
1938,NA,267.9044,243.9431,385.6264,343.0726
2040,NA,268.7377,244.7782,384.6467,342.2996
2040,224.0989,NA,195.8742,NA,NA
2142,NA,268.9367,243.7128,386.5065,343.9686
2244,NA,262.0872,237.7092,378.1745,335.2054
2244,222.7826,NA,194.7208,NA,NA
2346,NA,274.0542,249.7189,392.1982,351.8933
2448,NA,270.4959,249.6976,387.3667,350.5777
2448,222.6539,NA,197.6825,NA,NA
2550,NA,265.7527,244.1182,380.1600,342.8748
2652,NA,271.5371,249.4242,386.7299,347.5576
2652,217.6362,NA,191.3657,NA,NA
2754,NA,272.1896,250.4720,387.4796,350.3605
2856,NA,269.3859,249.3513,384.7665,349.7557
2856,214.9805,NA,190.9868,NA,NA
2958,NA,270.5560,250.4264,383.2670,348.0976
3060,NA,264.9377,245.2804,382.5008,347.7216
3060,209.6044,NA,185.6826,NA,NA
3162,NA,277.9080,258.3560,388.8000,355.0544
3264,NA,267.4445,247.5025,384.3404,350.6028
3264,212.9714,NA,188.4994,NA,NA
3366,NA,267.9030,248.9916,384.4723,350.3538
3468,NA,270.7947,251.7127,386.5527,353.9147
3468,211.2240,NA,187.2440,NA,NA
3570,NA,267.3076,247.7090,380.0185,344.9608
3672,NA,280.6837,262.2880,391.9647,361.7421
3672,210.2356,NA,187.7850,NA,NA
3774,NA,269.8433,251.7066,383.9194,352.3071
3876,NA,271.7576,253.5131,385.7938,354.7335
3876,209.2940,NA,185.8646,NA,NA
3978,NA,264.9832,244.9722,374.4977,338.4458
