step,train_loss,valid_loss,img_diff,hard_valid_loss,hard_img_diff 
0,NA,303.2289,250.9401,444.1532,374.9252
0,272.3328,NA,217.9983,NA,NA
102,NA,315.4782,263.6907,430.2264,365.2330
204,NA,296.3475,251.8720,415.0063,356.6021
204,262.5989,NA,214.1232,NA,NA
306,NA,292.5597,250.4900,404.5869,348.8914
408,NA,311.6003,271.4622,408.2367,354.8470
408,252.0294,NA,210.2995,NA,NA
510,NA,282.1492,244.8567,386.6049,335.3752
612,NA,281.6246,246.1548,392.6738,342.8627
612,244.3520,NA,205.7067,NA,NA
714,NA,297.2016,262.1893,393.4985,344.7697
816,NA,280.2715,247.2029,382.2524,334.9826
816,232.7608,NA,196.2211,NA,NA
918,NA,277.2288,245.1181,380.4655,334.0398
1020,NA,286.7368,255.4895,385.7565,339.2021
1020,228.2192,NA,193.7482,NA,NA
1122,NA,279.2831,247.1950,380.0808,333.4594
1224,NA,271.6956,242.8742,374.7138,330.8458
1224,221.3212,NA,189.2302,NA,NA
1326,NA,278.0015,246.7296,374.6913,330.2550
1428,NA,277.2014,247.0839,376.0483,331.3704
1428,227.2983,NA,193.4471,NA,NA
1530,NA,284.9605,254.9381,383.3416,338.8744
1632,NA,281.1255,251.5483,377.1776,333.0503
1632,223.2467,NA,190.0092,NA,NA
1734,NA,276.2525,247.2673,372.1504,328.2027
1836,NA,268.7752,241.3771,367.8017,324.6410
1836,218.1068,NA,186.9322,NA,NA
1938,NA,280.0261,251.2271,372.8968,330.3565
2040,NA,276.7411,248.0169,369.2851,326.6381
2040,218.6375,NA,187.4924,NA,NA
2142,NA,286.9404,258.0489,376.8384,333.7509
2244,NA,280.6642,252.6504,370.8349,328.1011
2244,215.4112,NA,184.6483,NA,NA
2346,NA,273.3198,246.2195,371.2695,329.2032
2448,NA,293.5814,265.0629,378.8054,336.2486
2448,218.4407,NA,188.6851,NA,NA
2550,NA,271.6480,245.3506,362.5619,321.0694
2652,NA,276.8928,250.1259,368.9784,327.2864
2652,210.6278,NA,181.7335,NA,NA
2754,NA,283.7587,257.0647,369.1809,327.5715
2856,NA,274.5055,247.0959,366.0606,323.5588
2856,210.8354,NA,180.6689,NA,NA
2958,NA,272.2300,245.9568,363.7932,322.1414
3060,NA,276.2919,249.9410,368.2382,327.8956
3060,205.7787,NA,178.2009,NA,NA
3162,NA,282.7511,254.4911,371.5137,327.9106
3264,NA,270.2772,244.3613,363.8832,323.6190
3264,209.2104,NA,181.2808,NA,NA
3366,NA,282.1733,254.3014,367.5851,326.1311
3468,NA,272.5938,246.3128,362.5248,320.8844
3468,212.7593,NA,183.7650,NA,NA
3570,NA,272.3047,246.1847,364.9210,324.2495
