step,train_loss,valid_loss,img_diff,hard_valid_loss,hard_img_diff 
0,NA,8679.2988,2103.5342,8902.5654,2115.1184
0,6451.1118,NA,1168.0505,NA,NA
3,NA,5349.9424,1696.4910,5746.7847,1901.6364
6,NA,3941.1228,1349.4938,4328.7031,1542.2572
6,3083.7783,NA,1131.4871,NA,NA
9,NA,3098.9573,1125.8099,3384.0405,1263.4825
12,NA,2772.8064,1061.0221,3024.2268,1186.7639
12,2666.6790,NA,1088.4043,NA,NA
15,NA,2660.9988,1051.7817,2890.0027,1170.0366
18,NA,2438.6567,951.2932,2697.8721,1105.0667
18,2461.9702,NA,1014.8979,NA,NA
21,NA,2413.0142,913.6274,2635.7461,1054.7899
24,NA,2291.3875,885.5010,2530.6794,1038.0730
24,2367.4619,NA,992.4361,NA,NA
27,NA,2276.7173,918.6465,2483.9668,1048.7054
30,NA,2183.8030,872.8311,2374.9204,995.7839
30,2235.9529,NA,945.9000,NA,NA
33,NA,2160.4971,885.2471,2329.8450,996.4652
36,NA,2301.4751,998.8975,2484.3887,1108.0404
36,2176.5249,NA,963.4811,NA,NA
39,NA,2197.2700,955.9408,2355.0571,1057.0231
42,NA,2014.9985,867.9825,2165.5271,971.6899
42,2071.5085,NA,935.2192,NA,NA
45,NA,2013.5935,877.8418,2152.5967,979.6686
48,NA,1801.4680,774.0243,1946.1896,885.0511
48,2009.3739,NA,933.9279,NA,NA
51,NA,1794.2869,770.9839,1932.3109,882.0771
54,NA,1689.9692,738.6195,1858.8512,868.7465
54,1943.9902,NA,913.2810,NA,NA
57,NA,1913.7698,876.1212,2045.8826,979.4650
60,NA,1768.2078,787.4160,1903.7948,903.0042
60,1899.4209,NA,881.8683,NA,NA
63,NA,1697.8098,747.3109,1829.0198,861.1385
66,NA,1687.2820,750.7992,1830.0880,878.6459
66,1841.6957,NA,867.0034,NA,NA
69,NA,1650.0105,746.8843,1787.8389,867.6292
72,NA,1745.9862,822.7004,1897.4631,947.9064
72,1796.1454,NA,865.5037,NA,NA
75,NA,1664.3485,759.7210,1807.4688,891.4811
78,NA,1711.5972,811.3242,1855.9832,934.2886
78,1765.2235,NA,869.1302,NA,NA
81,NA,1584.8544,742.7350,1701.9280,857.5115
84,NA,1505.6096,687.4669,1638.4490,816.8981
84,1726.1486,NA,834.1104,NA,NA
87,NA,1778.9911,908.9293,1881.1077,999.4314
90,NA,1611.4727,766.5786,1743.3326,883.2383
90,1679.8662,NA,822.3506,NA,NA
93,NA,1579.5396,773.6458,1721.6377,904.3975
96,NA,1618.1294,822.6140,1766.7008,953.6734
96,1632.7021,NA,842.3269,NA,NA
99,NA,1476.0005,729.8478,1635.2500,881.2199
102,NA,1583.8728,842.4788,1722.9276,970.4634
102,1582.9711,NA,844.8430,NA,NA
105,NA,1751.4097,912.0538,1911.0900,1051.4012
108,NA,1426.6401,717.7020,1579.3848,868.1777
108,1531.2249,NA,789.2224,NA,NA
111,NA,1561.6616,866.9994,1686.0518,978.7582
114,NA,1448.6587,762.8193,1600.9667,899.8326
114,1470.5830,NA,781.2506,NA,NA
117,NA,1422.2659,742.0820,1589.3619,900.4426
120,NA,1441.0732,755.1271,1598.5979,898.2300
120,1448.5668,NA,758.6456,NA,NA
123,NA,1327.1415,694.3387,1450.2559,824.2098
126,NA,1327.0803,707.4819,1456.7103,841.5837
126,1373.4266,NA,739.0782,NA,NA
129,NA,1432.2258,777.3553,1591.3281,919.5930
132,NA,1384.5785,760.3162,1533.7312,894.9604
132,1356.0936,NA,733.1364,NA,NA
135,NA,1268.9200,686.7965,1398.2432,822.7729
138,NA,2722.8376,1546.3762,2829.2183,1604.3600
138,1433.7048,NA,880.5070,NA,NA
141,NA,1214.5995,717.3888,1281.1957,782.6656
144,NA,1158.5104,693.1427,1245.9971,772.3119
144,1217.2972,NA,736.0842,NA,NA
147,NA,1137.6052,686.7742,1257.2762,797.0757
150,NA,1104.0687,665.2719,1241.8865,793.1888
150,1189.8606,NA,720.2354,NA,NA
153,NA,1116.5435,690.9687,1246.2836,811.2866
156,NA,1024.2903,610.4718,1153.6849,733.0729
156,1131.1082,NA,682.0866,NA,NA
159,NA,1111.7935,698.3689,1232.2155,806.5134
162,NA,1073.0979,671.1566,1207.2191,796.6499
162,1087.0361,NA,669.8009,NA,NA
165,NA,1020.6917,626.9833,1166.9435,759.9507
168,NA,1065.5466,674.0131,1221.0878,816.8439
168,1060.5312,NA,664.7856,NA,NA
171,NA,962.6068,578.5311,1108.3345,717.4714
174,NA,1073.5762,689.9802,1223.8992,826.5035
174,1047.3586,NA,661.2968,NA,NA
177,NA,1040.4348,676.0039,1195.0675,817.3402
