step,train_loss,valid_loss,img_diff,hard_valid_loss,hard_img_diff 
0,NA,6061.4150,912.8195,6269.0625,974.7453
0,6412.4863,NA,1397.7043,NA,NA
3,NA,4047.7517,1172.7246,4078.6157,1148.9633
6,NA,3324.4116,1156.9082,3331.0173,1130.0894
6,3039.9609,NA,1195.1724,NA,NA
9,NA,2860.1396,1023.2843,2951.3838,1066.8450
12,NA,2599.8164,971.2628,2727.8315,1048.1354
12,2559.6870,NA,1056.7610,NA,NA
15,NA,2396.7935,970.1945,2539.7683,1051.6254
18,NA,2343.9905,975.6685,2488.7456,1069.3459
18,2416.7412,NA,1048.4323,NA,NA
21,NA,2287.2954,967.7531,2417.5959,1062.8074
24,NA,2172.1953,943.4484,2318.8567,1047.7296
24,2292.5674,NA,1019.4332,NA,NA
27,NA,2126.2832,941.6395,2259.0125,1038.1085
30,NA,2131.2363,939.6955,2256.5254,1040.8486
30,2258.0867,NA,1019.6441,NA,NA
33,NA,2084.9668,939.1771,2202.1543,1028.6370
36,NA,2068.0964,926.7675,2200.3799,1032.8053
36,2162.5303,NA,989.2676,NA,NA
39,NA,2043.0001,918.2517,2170.3306,1022.9729
42,NA,2029.0618,917.4568,2155.8323,1022.3530
42,2150.8386,NA,998.8460,NA,NA
45,NA,2091.3760,939.3815,2233.4177,1056.1028
48,NA,2011.1995,929.8273,2130.6055,1029.7784
48,2107.0259,NA,986.3947,NA,NA
51,NA,2047.2130,940.1489,2158.1882,1034.0465
54,NA,2021.5186,927.5219,2134.6416,1031.1224
54,2132.7739,NA,996.7595,NA,NA
57,NA,1969.5675,907.9344,2097.0410,1017.8834
60,NA,1961.5754,919.6168,2081.1558,1019.9088
60,2009.5845,NA,964.3738,NA,NA
63,NA,1942.9155,904.4604,2064.1223,1012.0540
66,NA,1943.1161,932.0698,2048.3342,1020.7000
66,1993.7214,NA,962.4254,NA,NA
69,NA,1908.0598,903.2886,2025.6089,1010.6827
72,NA,1890.0601,895.7758,2008.4380,1004.8879
72,1976.3298,NA,957.7399,NA,NA
75,NA,1928.0959,899.6254,2068.6875,1022.4330
78,NA,1896.0566,900.7218,2017.9200,1006.8557
78,1930.2954,NA,939.2134,NA,NA
81,NA,1870.9307,907.7087,1977.7302,1007.6823
84,NA,1825.7770,888.4022,1932.2075,985.6362
84,1900.7288,NA,939.4663,NA,NA
87,NA,1843.1462,883.1189,1958.0540,988.2773
90,NA,1826.9257,896.3801,1941.6105,1002.8085
90,1873.2717,NA,932.7374,NA,NA
93,NA,1807.6431,875.5170,1912.2618,976.4211
96,NA,1803.8314,884.0500,1915.6576,988.3174
96,1827.0505,NA,900.4377,NA,NA
99,NA,1829.9446,897.6858,1938.1080,998.1374
102,NA,1767.0234,872.2664,1871.5022,972.8297
102,1806.4818,NA,897.7880,NA,NA
105,NA,1761.2832,869.8871,1870.3312,972.6905
108,NA,1712.3123,867.3140,1825.2948,973.5863
108,1745.6829,NA,880.5269,NA,NA
111,NA,1710.3593,856.2562,1811.1429,954.2425
114,NA,1694.8823,849.8569,1787.6266,940.1759
114,1712.9175,NA,858.6672,NA,NA
117,NA,1753.7648,870.5268,1856.0677,967.3320
120,NA,1688.4938,852.5695,1777.0264,935.8765
120,1691.9479,NA,845.1484,NA,NA
123,NA,1697.8669,861.1245,1790.5161,950.2576
126,NA,1633.1641,830.9515,1728.2783,923.4038
126,1655.4900,NA,836.8031,NA,NA
129,NA,1647.6570,826.2614,1750.8268,931.0162
132,NA,1682.2251,870.1562,1774.2615,957.1106
132,1616.8726,NA,813.0852,NA,NA
135,NA,1600.3242,816.2839,1698.2560,912.1392
138,NA,1610.9971,812.1363,1710.3193,907.0153
138,1550.8342,NA,774.6038,NA,NA
141,NA,1578.0083,803.3866,1678.4653,903.8006
144,NA,1538.8051,793.3314,1639.6230,888.9893
144,1515.1082,NA,752.4255,NA,NA
147,NA,1517.1145,801.0478,1606.1707,884.6167
150,NA,1592.1344,807.2007,1696.9664,908.7512
150,1512.9756,NA,760.3596,NA,NA
153,NA,1463.9202,757.5182,1557.8750,848.5770
156,NA,1456.2917,738.9620,1561.7511,840.8693
156,1427.3334,NA,700.1279,NA,NA
159,NA,1444.8057,740.6653,1550.4822,841.6025
162,NA,1439.5823,738.7931,1529.6470,829.4932
162,1404.0784,NA,699.1381,NA,NA
165,NA,1444.5259,753.3972,1543.2383,852.1321
168,NA,1392.7062,741.4335,1485.2644,829.7276
168,1336.7218,NA,670.2420,NA,NA
171,NA,1410.6799,712.4806,1505.7086,809.0551
174,NA,1372.5403,712.7757,1470.6233,810.1255
174,1290.4563,NA,637.4001,NA,NA
177,NA,1332.4907,701.5410,1442.1599,812.3494
180,NA,1291.2090,704.5898,1384.0107,796.2168
180,1280.5095,NA,648.9960,NA,NA
183,NA,1287.3486,671.9093,1404.5490,787.8184
186,NA,1318.8430,711.2601,1423.6539,812.6304
186,1216.5265,NA,613.4264,NA,NA
189,NA,1296.1725,694.6685,1398.0276,797.9102
192,NA,1254.0061,689.3685,1347.7177,784.1118
192,1198.8862,NA,619.6106,NA,NA
195,NA,1227.0466,683.5083,1323.9203,781.0587
198,NA,1232.9429,669.5115,1341.1267,778.7280
198,1143.3580,NA,572.6802,NA,NA
201,NA,1205.9961,638.5571,1307.8815,744.3900
204,NA,1166.8350,626.6592,1268.2277,729.7627
204,1104.7883,NA,559.6493,NA,NA
207,NA,1179.9724,635.7618,1292.2285,744.6981
210,NA,1180.7791,676.3252,1285.6490,781.0031
210,1125.9504,NA,586.9729,NA,NA
213,NA,1162.3969,640.9546,1252.4729,735.3273
216,NA,1145.2329,633.1146,1249.6569,741.7089
216,1084.0524,NA,562.3448,NA,NA
219,NA,1111.6881,596.2682,1211.5170,698.7821
222,NA,1117.7194,654.9951,1215.3948,753.5164
222,1039.7260,NA,557.6738,NA,NA
225,NA,1063.7350,594.8386,1161.6768,692.2147
228,NA,1069.3901,589.6740,1167.3922,686.4962
228,971.3409,NA,503.9676,NA,NA
